,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
1566,CDS,"product (aldehyde dehydrogenase), transl_table (11), protein_id (ref|NP_249438.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",814504,816012,1508,1,17.90450928381963,17.90450928381963,17.90450928381963,17.90450928381963
1616,CDS,"product (DNA repair protein RecO), transl_table (11), protein_id (ref|NP_249463.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",840385,841086,701,1,17.54636233951498,17.54636233951498,17.54636233951498,17.54636233951498
1624,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249467.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",843723,844295,572,1,27.62237762237762,27.62237762237762,27.62237762237762,27.62237762237762
1630,CDS,"product (ATP-dependent protease), transl_table (11), protein_id (ref|NP_249470.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",845793,848192,2399,1,4.418507711546478,4.418507711546478,4.418507711546478,4.418507711546478
1632,CDS,"product (proline utilization regulator), transl_table (11), protein_id (ref|NP_249471.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",848383,849135,752,1,27.39361702127659,27.39361702127659,27.3936170212766,27.3936170212766
1634,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249472.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",849256,851319,2063,1,5.962190984003877,5.962190984003877,5.962190984003878,5.962190984003878
1661,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249484.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",868943,870130,1187,1,11.54170176916596,11.54170176916596,11.54170176916596,11.54170176916596
1689,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249497.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",883777,884172,395,2,60.0,38.48101265822785,60.0,60.0
1698,CDS,"product (haloacid dehalogenase), transl_table (11), protein_id (ref|NP_249501.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",887583,888284,701,1,77.03281027104137,77.03281027104137,77.03281027104137,77.03281027104137
1700,CDS,"product (major facilitator superfamily transporter), transl_table (11), protein_id (ref|NP_249502.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",888315,889562,1247,2,17.16118684843625,15.19647153167602,17.16118684843625,17.16118684843625
1708,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249506.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",893041,893994,953,1,43.96642182581322,43.96642182581322,43.96642182581322,43.96642182581322
1710,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249507.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",893967,894851,884,1,20.58823529411764,20.58823529411764,20.58823529411765,20.58823529411765
1735,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249518.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",901934,902812,878,1,35.42141230068337,35.42141230068337,35.42141230068337,35.42141230068337
1747,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249524.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",907594,908307,713,1,32.67882187938289,32.67882187938289,32.67882187938289,32.67882187938289
1751,CDS,"product (phosphate acetyltransferase), EC_number (2.3.1.8), transl_table (11), protein_id (ref|NP_249526.1|), note (class 1: Function experimentally demonstrated in P. aeruginosa), ",909418,911532,2114,1,18.30652790917691,18.30652790917691,18.30652790917691,18.30652790917691
1761,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249530.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",914412,915002,590,2,27.79661016949153,25.67796610169491,27.79661016949153,27.79661016949153
1765,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249532.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",916346,917305,959,1,18.87382690302398,18.87382690302398,18.87382690302398,18.87382690302398
1767,CDS,"product (glycosyl transferase family protein), transl_table (11), protein_id (ref|NP_249533.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",917309,918529,1220,1,37.1311475409836,37.1311475409836,37.1311475409836,37.1311475409836
1771,CDS,"product (hemolytic phospholipase C), transl_table (11), protein_id (ref|NP_249535.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",919258,921450,2192,1,7.846715328467154,7.846715328467154,7.846715328467154,7.846715328467154
1778,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249538.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",925007,927214,2207,1,20.48028998640689,20.48028998640689,20.48028998640689,20.48028998640689
1792,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_249544.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",932102,932725,623,2,16.53290529695024,16.53290529695024,16.53290529695024,16.53290529695024
1809,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249552.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",940117,942573,2456,1,5.130293159609121,5.130293159609121,5.130293159609121,5.130293159609121
1813,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_249554.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",943482,944441,959,1,40.56308654848801,40.56308654848801,40.56308654848801,40.56308654848801
1815,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249555.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",944724,945512,788,1,22.20812182741117,22.20812182741117,22.20812182741117,22.20812182741117
1834,CDS,"product (transcriptional regulator PhhR), transl_table (11), protein_id (ref|NP_249564.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",953691,955250,1559,1,20.59012187299551,20.59012187299551,20.59012187299551,20.59012187299551
1838,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249566.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",955991,958186,2195,1,12.61958997722096,12.61958997722096,12.61958997722096,12.61958997722096
1850,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249572.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",962964,964316,1352,1,13.90532544378698,13.90532544378698,13.90532544378698,13.90532544378698
1856,CDS,"product (C4-dicarboxylate-binding protein), transl_table (11), protein_id (ref|NP_249575.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",966526,967521,995,1,19.2964824120603,19.2964824120603,19.2964824120603,19.2964824120603
1860,CDS,"product (C4-dicarboxylate transporter), transl_table (11), protein_id (ref|NP_249577.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",968205,969488,1283,2,11.92517537022603,11.92517537022603,11.92517537022603,11.92517537022603
1887,CDS,"product (N-succinylglutamate 5-semialdehyde dehydrogenase), transl_table (11), protein_id (ref|NP_249589.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",981422,982888,1466,1,13.16507503410641,13.16507503410641,13.16507503410641,13.16507503410641
1931,CDS,"product (potassium transport system protein kup), transl_table (11), protein_id (ref|NP_249608.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1000013,1001917,1904,1,10.66176470588235,10.66176470588235,10.66176470588235,10.66176470588235
1937,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249611.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1003966,1006611,2645,1,12.70321361058601,12.70321361058601,12.70321361058601,12.70321361058601
2014,CDS,"product (acylphosphatase), EC_number (3.6.1.7), transl_table (11), protein_id (ref|NP_249645.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1040432,1040707,275,1,32.72727272727273,32.72727272727273,32.72727272727273,32.72727272727273
2025,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249650.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1045832,1046461,629,1,25.43720190779014,25.43720190779014,25.43720190779014,25.43720190779014
2037,CDS,"product (crossover junction endodeoxyribonuclease RuvC), EC_number (3.1.22.4), transl_table (11), protein_id (ref|NP_249656.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",1051132,1051656,524,1,29.38931297709924,29.38931297709924,29.38931297709924,29.38931297709924
2100,CDS,"product (anthranilate--CoA ligase), transl_table (11), protein_id (ref|NP_249687.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",1078462,1080015,1553,2,75.40244687701222,12.13779781068899,75.40244687701224,75.40244687701224
2110,CDS,"product (anthranilate synthase component I), EC_number (4.1.3.27), transl_table (11), protein_id (ref|NP_249692.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",1083972,1085564,1592,2,62.87688442211056,13.81909547738693,62.87688442211055,62.87688442211055
2127,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249700.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1092510,1093067,557,4,100.0,87.20825852782764,100.0,100.0
2145,CDS,"product (pimeloyl-CoA synthetase), transl_table (11), protein_id (ref|NP_249708.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1100930,1103077,2147,1,7.871448532836515,7.871448532836515,7.871448532836516,7.871448532836516
2153,CDS,"product (acyl-CoA dehydrogenase), transl_table (11), protein_id (ref|NP_249711.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1105888,1107000,1112,1,54.94604316546763,54.94604316546763,54.94604316546763,54.94604316546763
2155,CDS,"product (enoyl-CoA hydratase), transl_table (11), protein_id (ref|NP_249712.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1107000,1107761,761,1,50.19710906701709,50.19710906701709,50.19710906701708,50.19710906701708
2167,CDS,"product (aldehyde dehydrogenase), transl_table (11), protein_id (ref|NP_249718.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1113129,1114718,1589,1,9.314033983637508,9.314033983637508,9.314033983637508,9.314033983637508
2188,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249728.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1124845,1125465,620,1,11.29032258064516,11.29032258064516,11.29032258064516,11.29032258064516
2200,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249734.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1128009,1128818,809,1,30.03708281829419,30.03708281829419,30.03708281829419,30.03708281829419
2206,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249737.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1131674,1133947,2273,2,11.87857457105147,11.87857457105147,43.29080510338759,43.29080510338759
2214,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249741.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1137043,1138155,1112,1,14.20863309352518,14.20863309352518,14.20863309352518,14.20863309352518
2254,CDS,"product (heat shock protein), transl_table (11), protein_id (ref|NP_249759.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1153637,1155547,1910,1,13.35078534031414,13.35078534031414,13.35078534031414,13.35078534031414
2303,CDS,"product (flagellar glycosyl transferase FgtA), transl_table (11), protein_id (ref|NP_249782.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1177613,1182697,5084,4,16.24704956726987,5.679583005507475,91.24704956726987,91.24704956726987
2317,CDS,"product (transcriptional regulator FleQ), transl_table (11), protein_id (ref|NP_249788.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",1187587,1189059,1472,1,11.07336956521739,11.07336956521739,11.07336956521739,11.07336956521739
2343,CDS,"product (major facilitator superfamily transporter), transl_table (11), protein_id (ref|NP_249799.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1200063,1201220,1157,1,16.76750216076059,16.76750216076059,16.76750216076059,16.76750216076059
2347,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249801.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1202094,1202804,710,1,12.3943661971831,12.3943661971831,12.3943661971831,12.3943661971831
2367,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249808.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1211407,1211781,374,1,29.94652406417112,29.94652406417112,29.94652406417112,29.94652406417112
2369,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249809.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1211888,1212571,683,1,15.0805270863836,15.0805270863836,15.0805270863836,15.0805270863836
2371,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249810.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa), ",1212717,1213223,506,3,33.79446640316205,29.44664031620553,33.79446640316205,33.79446640316205
2398,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249823.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1224641,1225330,689,1,21.04499274310595,21.04499274310595,21.04499274310595,21.04499274310595
2404,CDS,"product (molecular chaperone Hsp31/glyoxalase), transl_table (11), protein_id (ref|NP_249826.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1226427,1227302,875,3,57.42857142857143,16.76190476190476,100.0,100.0
2406,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249827.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1227474,1228205,731,1,20.109439124487,20.109439124487,20.109439124487,20.109439124487
2420,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249834.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1234095,1234748,653,2,73.20061255742726,72.9709035222052,73.20061255742726,73.20061255742726
2426,CDS,"product (iron-containing alcohol dehydrogenase), transl_table (11), protein_id (ref|NP_249837.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1237551,1238732,1181,1,37.51058425063506,37.51058425063506,37.51058425063506,37.51058425063506
2428,CDS,"product (amino acid permease), transl_table (11), protein_id (ref|NP_249838.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1238834,1240324,1490,1,20.60402684563758,20.60402684563758,20.60402684563758,20.60402684563758
2430,CDS,"product (exotoxin A), transl_table (11), protein_id (ref|NP_249839.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",1240584,1242500,1916,1,6.889352818371608,6.889352818371608,6.889352818371608,6.889352818371608
2432,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249840.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1242750,1243118,368,2,100.0,100.0,100.0,100.0
2439,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249844.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1247932,1248486,554,2,72.92418772563177,37.54512635379061,72.92418772563177,72.92418772563177
2457,CDS,"product (rRNA methyltransferase), transl_table (11), protein_id (ref|NP_249852.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1258488,1259291,803,1,55.66625155666252,55.66625155666252,55.66625155666252,55.66625155666252
2461,CDS,"product (glycosyl transferase), transl_table (11), protein_id (ref|NP_249854.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa), ",1260557,1263166,2609,1,6.784208509007282,6.784208509007282,6.784208509007282,6.784208509007282
2484,CDS,"product (nitrate reductase catalytic subunit), transl_table (11), protein_id (ref|NP_249865.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1273309,1275798,2489,1,4.821213338690237,4.821213338690237,4.821213338690237,4.821213338690237
2488,CDS,"product (ferredoxin protein NapF), transl_table (11), protein_id (ref|NP_249867.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1276117,1276608,491,1,76.37474541751527,76.37474541751527,76.37474541751527,76.37474541751527
2496,CDS,"product (two-component sensor PhoQ), transl_table (11), protein_id (ref|NP_249871.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",1278362,1279708,1346,1,12.481426448737,12.481426448737,12.481426448737,12.481426448737
2504,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249875.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1285898,1286788,890,1,56.40449438202248,56.40449438202248,56.40449438202247,56.40449438202247
2537,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249891.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1300811,1301473,662,1,25.6797583081571,25.6797583081571,25.6797583081571,25.6797583081571
2551,CDS,"product (glutathione-regulated potassium-efflux system protein KefB), transl_table (11), protein_id (ref|NP_249898.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1306059,1307900,1841,1,7.984790874524715,7.984790874524715,7.984790874524715,7.984790874524715
2557,CDS,"product (quercetin 2,3-dioxygenase), transl_table (11), protein_id (ref|NP_249901.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1310688,1311386,698,2,21.48997134670487,21.48997134670487,21.48997134670487,21.48997134670487
2563,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249904.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1313362,1314321,959,1,20.5422314911366,20.5422314911366,20.5422314911366,20.5422314911366
2580,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249912.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1322253,1324109,1856,1,8.620689655172415,8.620689655172415,8.620689655172415,8.620689655172415
2582,CDS,"product (membrane-bound lytic murein transglycosylase A), transl_table (11), protein_id (ref|NP_249913.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1324793,1325950,1157,1,9.248055315471046,9.248055315471046,9.248055315471046,9.248055315471046
2609,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249926.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1335645,1336427,782,1,20.97186700767264,20.97186700767264,20.97186700767264,20.97186700767264
2619,CDS,"product (enoyl-CoA hydratase), EC_number (4.2.1.17), transl_table (11), protein_id (ref|NP_249931.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1341851,1342648,797,1,17.06398996235885,17.06398996235885,17.06398996235885,17.06398996235885
2623,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249933.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1343453,1345225,1772,1,7.900677200902935,7.900677200902935,7.900677200902934,7.900677200902934
2625,CDS,"product (sensor/response regulator hybrid protein), transl_table (11), protein_id (ref|NP_249934.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1345248,1347824,2576,1,4.813664596273292,4.813664596273292,4.813664596273292,4.813664596273292
2628,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249935.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1348060,1348401,341,1,75.0733137829912,75.0733137829912,75.0733137829912,75.0733137829912
2631,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249936.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1349416,1350660,1244,1,17.28295819935691,17.28295819935691,17.28295819935691,17.28295819935691
2643,CDS,"product (chemotaxis transducer), transl_table (11), protein_id (ref|NP_249942.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1357725,1359350,1625,2,13.66153846153846,13.66153846153846,41.96923076923077,41.96923076923077
2647,CDS,"product (semialdehyde dehydrogenase), transl_table (11), protein_id (ref|NP_249944.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1360698,1362278,1580,2,26.51898734177215,26.51898734177215,26.51898734177215,26.51898734177215
2649,CDS,"product (dihydrodipicolinate synthetase), transl_table (11), protein_id (ref|NP_249945.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1362371,1363288,917,2,29.77099236641221,29.77099236641221,29.77099236641221,29.77099236641221
2659,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249950.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1366538,1368280,1742,1,54.93685419058554,54.93685419058554,54.93685419058554,54.93685419058554
2661,CDS,"product (amino acid ABC transporter substrate-binding protein), transl_table (11), protein_id (ref|NP_249951.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa.), ",1368339,1369160,821,1,31.91230207064556,31.91230207064556,31.91230207064556,31.91230207064556
2665,CDS,"product (major facilitator superfamily transporter), transl_table (11), protein_id (ref|NP_249953.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1370257,1371699,1442,3,73.57836338418863,39.50531668978271,100.0,100.0
2671,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249956.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1373945,1374847,902,4,56.54101995565411,48.94678492239468,56.5410199556541,56.5410199556541
2673,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_249957.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1374844,1376097,1253,1,28.89066241021548,28.89066241021548,28.89066241021548,28.89066241021548
2680,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_249960.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1378500,1379168,668,2,22.0059880239521,22.0059880239521,22.0059880239521,22.0059880239521
2689,CDS,"product (hydrogenobyrinate a,c-diamide synthase), transl_table (11), protein_id (ref|NP_249964.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1384361,1385668,1307,1,23.25937260902831,23.25937260902831,23.25937260902831,23.25937260902831
2693,CDS,"product (cobalamin biosynthesis protein CobD), transl_table (11), protein_id (ref|NP_249966.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1386323,1387261,938,1,24.73347547974414,24.73347547974414,24.73347547974414,24.73347547974414
2697,CDS,"product (cobyric acid synthase), transl_table (11), protein_id (ref|NP_249968.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1388242,1389714,1472,1,15.14945652173913,15.14945652173913,15.14945652173913,15.14945652173913
2699,CDS,"product (bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase), EC_number (2.7.1.156), EC_number (2.7.7.62), transl_table (11), protein_id (ref|NP_249969.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1389707,1390228,521,1,30.9021113243762,30.9021113243762,30.9021113243762,30.9021113243762
2705,CDS,"product (adenosylcobinamide-GDP ribazoletransferase), transl_table (11), protein_id (ref|NP_249972.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1391864,1392601,737,1,25.91587516960651,25.91587516960651,25.91587516960651,25.91587516960651
2729,CDS,"product (3-mercaptopyruvate sulfurtransferase), transl_table (11), protein_id (ref|NP_249983.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1402981,1403835,854,1,50.70257611241218,50.70257611241218,50.70257611241218,50.70257611241218
2733,CDS,"product (ribonuclease D), transl_table (11), protein_id (ref|NP_249985.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",1405338,1406462,1124,1,16.37010676156584,16.37010676156584,16.37010676156584,16.37010676156584
2739,CDS,"product (metal transporter), transl_table (11), protein_id (ref|NP_249988.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",1407951,1408931,980,1,20.0,20.0,20.0,20.0
2741,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249989.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",1408999,1409274,275,1,64.36363636363637,64.36363636363637,64.36363636363636,64.36363636363636
